date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat
2020/7/23,0,0,0,0,0,0,0,0,0
2020/7/24,0,0,0,0,0,0,0,0,0
2020/7/25,0,0,0,0,0,0,0,0,0
2020/7/26,1,0,1,0,1,0,0,0,0
2020/7/27,0,0,0,0,0,0,0,0,0
2020/7/28,0,0,0,0,0,0,0,0,0
2020/7/29,1,1,1,1,1,0,0,0,0
2020/7/30,0,0,0,0,0,0,0,0,0
2020/7/31,0,0,0,0,0,0,0,0,0
2020/8/1,0,0,0,0,0,0,0,0,0
2020/8/2,0,0,0,0,0,0,0,0,0
2020/8/3,0,0,0,0,0,0,0,0,0
2020/8/4,0,0,0,0,0,0,0,0,0
2020/8/5,0,0,0,0,0,0,0,0,0
2020/8/6,0,0,0,0,0,0,0,0,0
2020/8/7,0,0,0,0,0,0,0,0,0
2020/8/8,0,0,0,0,0,0,0,0,0
2020/8/9,0,0,0,0,0,0,0,0,0
2020/8/10,0,0,1,0,1,0,0,0,0
2020/8/11,0,0,0,0,0,0,0,0,0
2020/8/12,0,0,0,0,0,0,0,0,0
2020/8/13,0,0,0,0,0,0,0,0,0
2020/8/14,0,0,0,0,0,0,0,0,0
2020/8/15,0,0,0,0,0,0,0,0,0
2020/8/16,0,0,0,0,0,0,0,0,0
2020/8/17,0,0,0,0,0,0,0,0,0
2020/8/18,0,0,0,0,0,0,0,0,0
2020/8/19,0,0,0,0,0,0,0,0,0
2020/8/20,0,0,0,0,0,0,0,0,0
2020/8/21,0,0,0,0,0,0,0,0,0
2020/8/22,0,0,0,0,0,0,0,0,0
2020/8/23,0,0,0,0,0,0,0,0,0
2020/8/24,0,0,0,0,0,0,0,0,0
2020/8/25,0,0,0,0,0,0,0,0,0
2020/8/26,0,0,0,0,0,0,0,0,0
2020/8/27,0,0,0,0,0,0,0,0,0
2020/8/28,0,0,0,0,0,0,0,0,0
2020/8/29,1,0,1,0,1,0,0,0,0
2020/8/30,1,0,1,0,1,0,0,0,0
2020/8/31,0,0,0,0,0,0,0,0,0
2020/9/1,1,0,1,0,1,0,0,0,0
2020/9/2,0,0,0,0,0,0,0,0,0
2020/9/3,0,0,0,0,0,0,0,0,0
2020/9/4,0,0,0,0,0,0,0,0,0
